1643368753.634,987.9575
1643368754.136,987.9468
1643368754.635,987.9287
1643368755.135,987.9243
1643368755.635,987.8635
1643368756.134,987.9126
1643368756.634,987.9419
1643368757.135,987.9399
1643368757.635,987.9316
1643368758.135,987.9331
1643368758.634,987.9207
1643368759.135,987.927
1643368759.635,987.9351
1643368760.135,987.9128
1643368760.634,987.9177
1643368761.134,987.917
1643368761.634,987.9082
1643368762.134,987.9141
1643368762.634,987.9214
1643368763.134,987.9285
1643368763.634,987.9185
1643368764.135,987.9255
1643368764.634,987.9272
1643368765.134,987.9219
1643368765.635,987.9248
1643368766.135,987.9199
1643368766.634,987.9299
1643368767.135,987.9268
1643368767.634,987.9407
1643368768.135,987.9316
1643368768.635,987.9417
1643368769.135,987.9397
1643368769.634,987.9294
1643368770.134,987.9348
1643368770.635,987.9402
1643368771.135,987.9373
1643368771.634,987.9438
1643368772.135,987.9463
1643368772.635,987.9451
1643368773.135,987.9485
1643368773.635,987.9529
1643368774.135,987.9475
1643368774.634,987.9592
1643368775.134,987.9646
1643368775.635,987.9497
1643368776.135,987.9536
1643368776.635,987.9529
1643368777.135,987.9673
1643368777.635,987.9746
1643368778.135,987.9688
1643368778.635,987.9705
1643368779.135,987.968
1643368779.635,987.9653
1643368780.134,987.9641
1643368780.636,987.9761
1643368781.135,987.9685
1643368781.635,987.9639
1643368782.135,987.967
1643368782.635,987.9688
1643368783.135,987.9766
1643368783.635,987.9734
1643368784.136,987.9675
1643368784.635,987.9712
1643368785.135,987.9629
1643368785.635,987.9629
1643368786.135,987.959
1643368786.635,987.9636
1643368787.134,987.9556
1643368787.634,987.9514
1643368788.134,987.9485
1643368788.635,987.9543
1643368789.135,987.9539
1643368789.635,987.9512
1643368790.135,987.947
1643368790.635,987.9453
1643368791.135,987.9485
1643368791.635,987.9543
1643368792.135,987.9434
1643368792.635,987.9417
1643368793.135,987.967
1643368793.635,987.9563
1643368794.135,987.9629
1643368794.635,987.9651
1643368795.134,987.958
1643368795.635,987.9607
1643368796.135,987.9585
1643368796.635,987.9358
1643368797.135,987.9536
1643368797.634,987.9597
1643368798.135,987.9583
1643368798.635,987.9614
1643368799.134,987.9551
1643368799.634,987.9604
1643368800.134,987.9524
1643368800.635,987.9565
1643368801.135,987.9641
1643368801.634,987.9631
1643368802.135,987.9614
1643368802.637,987.9646
1643368803.134,987.9717
1643368803.635,987.9607
1643368804.135,987.9514
1643368804.635,987.9607
1643368805.135,987.9656
1643368805.635,987.9509
1643368806.135,987.9475
1643368806.635,987.9548
1643368807.135,987.9534
1643368807.635,987.9587
1643368808.135,987.9639
1643368808.635,987.9768
1643368809.135,987.9714
1643368809.635,987.967
1643368810.135,987.9705
1643368810.635,987.9729
1643368811.135,987.9773
1643368811.635,987.9819
1643368812.135,987.9719
1643368812.635,987.9568
1643368813.135,987.9758
1643368813.634,987.9734
1643368814.135,987.9641
1643368814.634,987.9629
1643368815.135,987.9631
